序,日別,日期,時間,店家,地點,品項明細,金額(JPY),付款方式,當時標註
1,Day 1,2024-09-25,15:21,NIKE FACTORY STORE 酒々井,酒々井 Outlet,"女款 Air Max SC ¥7,999＋Air Max Command ¥6,999",14998,JCB,Airmax
2,Day 1,2024-09-25,15:41,COLONY 2139 酒々井店,酒々井 Outlet,"カットソウ 上衣 ¥3,000＋外税 ¥300",3300,信用卡,小洋裝
3,Day 1,2024-09-25,22:56,LAWSON 浅草二丁目店,淺草,玉米美乃滋麵包149／迷你巧克力餅乾130／可洛洛巨峰160／脆笛酥108／澤庵紫蘇飯146／紀州南高梅手卷140,833,交通系電子錢包,高梅、高菜飯糰、脆笛酥、巧克力餅乾
4,Day 2,2024-09-26,—,東京迪士尼樂園 怪獸電力公司商店,迪士尼樂園,商品,1800,JCB,鑰匙圈
5,Day 2,2024-09-26,—,東京迪士尼樂園 明日樂園露台,迪士尼樂園,餐食,1630,JCB,杯麵套餐
6,Day 2,2024-09-26,21:26,LIFE 浅草店,淺草,栗子香菇炊飯298（-50%）＋太卷壽司440（-50%）＋外税29,398,JCB,半割壽司、栗子炊飯
7,Day 2,2024-09-26,21:37,LIFE 浅草店,淺草,出前一丁丼麵138＋赤豆皮烏龍115＋外税20,273,JCB,泡麵
8,Day 3,2024-09-27,11:54,江戸 辻屋,豐洲千客萬來,北海丼（迷你）,1100,—,北海丼
9,Day 3,2024-09-27,13:39,Air BIC CAMERA 台場 AQUA CiTY 店,台場,"吹風機 EH-NA2K ¥13,000 − 免税5% ¥650",12350,JCB,吹風機
10,Day 3,2024-09-27,20:57,UNIQLO 銀座店,銀座,"圓領T 1,500＋V領針織 2,990＋運動衫 2,990 − 免税 680",6800,信用卡,白毛衣、黑帽踢、浪短踢
11,Day 3,2024-09-27,21:54,スギ薬局 浅草店,淺草,遮瑕盤748＋蝶矢梅酒877＋可洛洛麝香138＋可洛洛葡萄138,1901,信用卡,遮瑕、梅酒、葡萄糖
12,Day 3,2024-09-27,22:25,LAWSON 浅草ブロードウェイ店,淺草,鹽炒麵麵包,171,JCB,炒麵麵包
13,Day 4,2024-09-28,12:45,華納兄弟哈利波特影城 東京,練馬,"奶油啤酒 特別版1,000＋薄荷口味800",1800,—,奶油啤酒
14,Day 4,2024-09-28,19:53,LUNA EARTH SHIBUYA109 店,澀谷,鈦耳針×2、勾式耳環×2、腳鍊×1（共5件）,2090,信用卡,巧克力蛙耳環、項鍊
15,Day 4,2024-09-28,20:24,東急 Foodshow 澀谷 東京牛奶起司工房,澀谷,"鹽味卡門貝爾10枚1,200＋蜂蜜G&G10枚1,200＋栗子&M10枚1,200＋外税288",3888,現金,牛牛起司餅乾
16,Day 4,2024-09-28,21:00,ビックカメラ 渋谷ハチ公口店,澀谷,"Chromecast 6,910 − 免税5% 346",6564,JCB,Chromecast
17,Day 4,2024-09-28,22:16,LAWSON 浅草ブロードウェイ店,淺草,迷你巧克力餅乾 130×2,260,JCB,巧克力餅乾
18,Day 5,2024-09-29,11:54,FaSoLa AKIHABARA 成田機場南翼3F,成田機場,"紀州完熟蜜柑梅酒720ml 1,500＋KitKat日本酒9枚 900＋京都辣油香鬆 600＋京都芝麻香鬆黑七味 550",3550,—,梅酒、京都鬆鬆、日本酒KitKat
19,Day 5,2024-09-29,12:01,マツモトキヨシ 成田機場第1航廈店,成田機場,CANMAKE 315 腮紅（免税）,800,信用卡,腮紅
20,Day 5,2024-09-29,12:20,FaSoLa AKIHABARA 成田機場南翼3F,成田機場,神戸フランツ 草莓乾巧克力,1000,—,草莓乾巧克力
